Country ISO3,Country Name,Postcode,Zone Name,CRESTA Scheme,CRESTA ID,Zone Name
AUS,Australia,2075,St Ives,LowRes,Australia CR43,Sydney North
AUS,Australia,2076,Wahroonga,LowRes,Australia CR43,Sydney North
AUS,Australia,2077,Asquith,LowRes,Australia CR43,Sydney North
AUS,Australia,2079,Mount Colah,LowRes,Australia CR43,Sydney North
AUS,Australia,2080,Mount Kuring-Gai,LowRes,Australia CR43,Sydney North
AUS,Australia,2081,Cowan,LowRes,Australia CR43,Sydney North
AUS,Australia,2082,Berowra Heights,LowRes,Australia CR43,Sydney North
AUS,Australia,2083,Dangar Island,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2084,Terrey Hills,LowRes,Australia CR43,Sydney North
AUS,Australia,2085,Belrose,LowRes,Australia CR43,Sydney North
AUS,Australia,2086,Frenchs Forest,LowRes,Australia CR43,Sydney North
AUS,Australia,2087,Killarney Heights,LowRes,Australia CR43,Sydney North
AUS,Australia,2088,Mosman,LowRes,Australia CR43,Sydney North
AUS,Australia,2089,Neutral Bay,LowRes,Australia CR43,Sydney North
AUS,Australia,2090,Cremorne,LowRes,Australia CR43,Sydney North
AUS,Australia,2092,Seaforth,LowRes,Australia CR43,Sydney North
AUS,Australia,2093,Balgowlah,LowRes,Australia CR43,Sydney North
AUS,Australia,2094,Fairlight,LowRes,Australia CR43,Sydney North
AUS,Australia,2095,Manly,LowRes,Australia CR43,Sydney North
AUS,Australia,2096,Curl Curl,LowRes,Australia CR43,Sydney North
AUS,Australia,2097,Collaroy,LowRes,Australia CR43,Sydney North
AUS,Australia,2099,Narraweena,LowRes,Australia CR43,Sydney North
AUS,Australia,2100,Oxford Falls,LowRes,Australia CR43,Sydney North
AUS,Australia,2101,Ingleside,LowRes,Australia CR43,Sydney North
AUS,Australia,2102,Warriewood,LowRes,Australia CR43,Sydney North
AUS,Australia,2103,Mona Vale,LowRes,Australia CR43,Sydney North
AUS,Australia,2104,Bayview,LowRes,Australia CR43,Sydney North
AUS,Australia,2105,Scotland Island,LowRes,Australia CR43,Sydney North
AUS,Australia,2106,Newport,LowRes,Australia CR43,Sydney North
