id,postcode,locality,state,long,lat
20018,1128,LITCHFIELD PARK,NT,130.6254299,-11.75841975
300,1129,LIVINGSTONE,NT,130.6254299,-11.75841975
20019,1130,LLOYD CREEK,NT,130.6254299,-11.75841975
20020,1131,MANDORAH,NT,130.6254299,-11.75841975
301,1132,MANINGRIDA,NT,130.6254299,-11.75841975
24058,1133,MAPURU,NT,130.6254299,-11.75841975
20021,1134,MARANUNGA,NT,130.6254299,-11.75841975
20022,1135,MARGARET RIVER,NT,130.6254299,-11.75841975
24059,1136,MARRAKAI,NT,130.6254299,-11.75841975
302,1137,MCMINNS LAGOON,NT,130.6254299,-11.75841975
24133,1138,MICKET CREEK,NT,130.9523,-12.3651
20023,1139,MICKETT CREEK,NT,130.6254299,-11.75841975
303,1140,MIDDLE POINT,NT,130.6254299,-11.75841975
24060,1141,MILIKAPITI,NT,130.6254299,-11.75841975
20024,1142,MILINGIMBI,NT,130.6254299,-11.75841975
305,1143,MILLWOOD,NT,130.6254299,-11.75841975
20025,1144,MILYAKBURRA,NT,130.6254299,-11.75841975
20026,1145,MINJILANG,NT,130.6254299,-11.75841975
20027,1146,MOUNT BUNDEY,NT,130.6254299,-11.75841975
20028,1147,MURRUMUJUK,NT,130.6254299,-11.75841975
20029,1148,NAUIYU,NT,130.6254299,-11.75841975
20030,1149,NEMARLUK,NT,130.6254299,-11.75841975
20031,1150,NGANMARRIYANGA,NT,130.6254299,-11.75841975
307,1151,NGUIU,NT,130.6254299,-11.75841975
20032,1152,NUMBULWAR,NT,130.6254299,-11.75841975
20033,1153,NUMBURINDI,NT,130.6254299,-11.75841975
308,1154,OENPELLI,NT,130.6254299,-11.75841975
20034,1155,PEPPIMENARTI,NT,130.6254299,-11.75841975
20035,1156,PIRLANGIMPI,NT,130.6254299,-11.75841975
309,1157,POINT STEPHENS,NT,130.6254299,-11.75841975
20036,1158,POINT STUART,NT,130.6254299,-11.75841975
310,1159,PULARUMPI,NT,130.6254299,-11.75841975
311,1160,PULUMPA,NT,130.6254299,-11.75841975
20037,1161,RAKULA,NT,130.6254299,-11.75841975
20038,1162,RAMINGINING,NT,130.6254299,-11.75841975
20039,1163,ROBIN FALLS,NT,130.6254299,-11.75841975
20040,1164,RUM JUNGLE,NT,130.6254299,-11.75841975
20041,1165,SANDPALMS ROADHOUSE,NT,130.6254299,-11.75841975
313,1166,SOUTHPORT,NT,130.6254299,-11.75841975
